intent|response
barcode equipment issue|Step 1: Logout and login. Step 2: Restart device. Step 3: Remove and reinsert battery. Step 4: If it's MC device, open data wedge app and delete the profile. Step 5: If still issue persists, email team@assetpulse.com.

handscanner|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handscanner problem|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handscanner issue|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
hand scanner not working|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handheld scanner issue|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
scanner problem|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.

handheld issue|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handheld problem|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handheld device issue|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handheld not working|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
mobile device issue|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.
handscanner device problem|Please specify the issue: RFID/Barcode not scanning, Datachart missing, Wrong username and password, Device name or URL issue.

Integrity not verified|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.
device integrity not verified|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.
integrity verification failed|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.
device not verified|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.
verification error|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.
device registration issue|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.
Integrity failed|Step:1 The "Integrity not verified" message appears because the device is not registered with us.Step 2:Please visit https://udid.tech/ on your device to retrieve its UDID.Step 3:Share the UDID with us via email.Step 4:We will register the device and notify you once it's updated.

I have a problem with agm|Please elaborate the issue you're facing with AGM app.
AGM app issue|Please elaborate the issue you're facing with AGM app.
AGM problem|Please elaborate the issue you're facing with AGM app.
issue with AGM|Please elaborate the issue you're facing with AGM app.
AGM not working|Please elaborate the issue you're facing with AGM app.
AGM troubleshooting|Please elaborate the issue you're facing with AGM app.
